scenario_key,hand_cat,position,stack_cat,blinds_level,villain_stack_cat,preflop_context,visits,pct_fold,pct_call_small,pct_raise_small,pct_raise_mid,pct_raise_high
trash|BTN|very_deep|medium|very_deep|standard,trash,BTN,very_deep,medium,very_deep,standard,19,0.0526,0.3158,0.2105,0.0526,0.3684
trash|BB|very_deep|medium|very_deep|opp_raise_high,trash,BB,very_deep,medium,very_deep,opp_raise_high,8,0.0,0.375,0.0,0.375,0.25
suited_gappers|BTN|very_deep|medium|very_deep|standard,suited_gappers,BTN,very_deep,medium,very_deep,standard,2,0.5,0.0,0.0,0.0,0.5
medium_aces|BB|very_deep|medium|very_deep|opp_raise_high,medium_aces,BB,very_deep,medium,very_deep,opp_raise_high,2,0.0,0.0,0.0,0.5,0.5
trash|BB|very_deep|medium|very_deep|opp_call_low,trash,BB,very_deep,medium,very_deep,opp_call_low,5,0.2,0.2,0.4,0.0,0.2
trash|BTN|very_deep|medium|very_deep|opp_raise_low_3bet,trash,BTN,very_deep,medium,very_deep,opp_raise_low_3bet,5,0.2,0.2,0.0,0.6,0.0
trash|BB|very_deep|medium|very_deep|opp_raise_high_3bet,trash,BB,very_deep,medium,very_deep,opp_raise_high_3bet,3,1.0,0.0,0.0,0.0,0.0
trash|BTN|very_deep|medium|deep|standard,trash,BTN,very_deep,medium,deep,standard,10,0.1,0.5,0.2,0.1,0.1
trash|BB|deep|medium|very_deep|opp_call_low,trash,BB,deep,medium,very_deep,opp_call_low,7,0.0,0.2857,0.2857,0.1429,0.2857
trash|BTN|very_deep|medium|deep|opp_raise_mid,trash,BTN,very_deep,medium,deep,opp_raise_mid,5,0.0,0.4,0.0,0.0,0.6
trash|BTN|deep|medium|very_deep|standard,trash,BTN,deep,medium,very_deep,standard,11,0.2727,0.3636,0.0909,0.0,0.2727
trash|BB|very_deep|medium|deep|opp_raise_high,trash,BB,very_deep,medium,deep,opp_raise_high,8,0.25,0.125,0.125,0.25,0.25
medium_pairs|BTN|very_deep|medium|very_deep|standard,medium_pairs,BTN,very_deep,medium,very_deep,standard,2,0.0,0.0,0.5,0.5,0.0
trash|BTN|deep|medium|very_deep|opp_raise_high,trash,BTN,deep,medium,very_deep,opp_raise_high,3,0.0,0.0,0.0,1.0,0.0
trash|BB|very_deep|medium|deep|opp_raise_high_3bet,trash,BB,very_deep,medium,deep,opp_raise_high_3bet,4,0.0,0.25,0.0,0.5,0.25
trash|BTN|very_deep|medium|medium|standard,trash,BTN,very_deep,medium,medium,standard,9,0.2222,0.2222,0.2222,0.1111,0.2222
medium_aces|BTN|medium|medium|very_deep|standard,medium_aces,BTN,medium,medium,very_deep,standard,2,0.0,0.0,0.5,0.5,0.0
trash|BB|very_deep|medium|medium|opp_raise_low,trash,BB,very_deep,medium,medium,opp_raise_low,3,0.3333,0.0,0.0,0.3333,0.3333
offsuit_broadway|BTN|medium|medium|very_deep|standard,offsuit_broadway,BTN,medium,medium,very_deep,standard,2,0.0,0.5,0.0,0.5,0.0
trash|BB|very_deep|medium|medium|opp_check,trash,BB,very_deep,medium,medium,opp_check,3,0.0,0.3333,0.3333,0.0,0.3333
trash|BTN|medium|medium|very_deep|standard,trash,BTN,medium,medium,very_deep,standard,7,0.4286,0.2857,0.1429,0.0,0.1429
trash|BB|very_deep|medium|medium|opp_raise_mid,trash,BB,very_deep,medium,medium,opp_raise_mid,4,0.25,0.25,0.0,0.25,0.25
premium_aces|BTN|medium|medium|very_deep|standard,premium_aces,BTN,medium,medium,very_deep,standard,2,0.0,0.5,0.0,0.0,0.5
trash|BTN|deep|low|deep|standard,trash,BTN,deep,low,deep,standard,5,0.2,0.6,0.2,0.0,0.0
trash|BTN|deep|low|deep|opp_check,trash,BTN,deep,low,deep,opp_check,2,0.5,0.0,0.0,0.5,0.0
trash|BB|deep|low|deep|opp_raise_low,trash,BB,deep,low,deep,opp_raise_low,3,0.0,0.3333,0.0,0.3333,0.3333
trash|BTN|very_deep|low|deep|standard,trash,BTN,very_deep,low,deep,standard,4,0.0,0.0,0.25,0.5,0.25
trash|BB|deep|low|very_deep|opp_raise_low,trash,BB,deep,low,very_deep,opp_raise_low,4,0.25,0.5,0.0,0.0,0.25
trash|BTN|deep|low|very_deep|standard,trash,BTN,deep,low,very_deep,standard,2,0.5,0.0,0.0,0.5,0.0
trash|BTN|medium|low|very_deep|standard,trash,BTN,medium,low,very_deep,standard,6,0.3333,0.1667,0.0,0.1667,0.3333
trash|BB|very_deep|low|medium|opp_raise_high,trash,BB,very_deep,low,medium,opp_raise_high,4,0.25,0.75,0.0,0.0,0.0
trash|BTN|very_deep|low|medium|standard,trash,BTN,very_deep,low,medium,standard,3,0.3333,0.6667,0.0,0.0,0.0
trash|BB|medium|low|very_deep|opp_call_low,trash,BB,medium,low,very_deep,opp_call_low,3,0.3333,0.0,0.3333,0.3333,0.0
offsuit_broadway|BTN|medium|medium|medium|standard,offsuit_broadway,BTN,medium,medium,medium,standard,2,0.0,0.5,0.5,0.0,0.0
trash|BB|medium|medium|medium|opp_check,trash,BB,medium,medium,medium,opp_check,7,0.0,0.4286,0.2857,0.1429,0.1429
trash|BTN|medium|medium|short|standard,trash,BTN,medium,medium,short,standard,2,0.0,1.0,0.0,0.0,0.0
trash|BTN|medium|medium|medium|standard,trash,BTN,medium,medium,medium,standard,12,0.1667,0.3333,0.1667,0.0833,0.25
trash|BTN|medium|medium|medium|opp_raise_high,trash,BTN,medium,medium,medium,opp_raise_high,2,1.0,0.0,0.0,0.0,0.0
trash|BTN|short|medium|medium|standard,trash,BTN,short,medium,medium,standard,3,0.0,0.0,0.0,0.3333,0.6667
trash|BB|medium|medium|short|opp_raise_mid,trash,BB,medium,medium,short,opp_raise_mid,2,0.5,0.0,0.0,0.0,0.5
trash|BB|medium|medium|medium|opp_raise_low,trash,BB,medium,medium,medium,opp_raise_low,4,0.25,0.25,0.5,0.0,0.0
trash|BB|medium|medium|medium|opp_raise_mid_3bet,trash,BB,medium,medium,medium,opp_raise_mid_3bet,2,0.0,0.0,0.0,0.5,0.5
trash|BTN|deep|high|medium|standard,trash,BTN,deep,high,medium,standard,3,0.0,0.3333,0.3333,0.3333,0.0
trash|BB|medium|high|deep|opp_raise_low,trash,BB,medium,high,deep,opp_raise_low,2,0.0,0.0,0.5,0.0,0.5
trash|BTN|deep|high|short|standard,trash,BTN,deep,high,short,standard,2,0.5,0.0,0.5,0.0,0.0
trash|BTN|ultra_short|high|deep|standard,trash,BTN,ultra_short,high,deep,standard,4,0.25,0.5,0.0,0.0,0.25
trash|BB|deep|high|ultra_short|opp_shove,trash,BB,deep,high,ultra_short,opp_shove,3,0.3333,0.3333,0.0,0.0,0.3333
trash|BTN|deep|high|ultra_short|standard,trash,BTN,deep,high,ultra_short,standard,4,0.0,0.5,0.25,0.0,0.25
trash|BB|ultra_short|high|deep|opp_check,trash,BB,ultra_short,high,deep,opp_check,3,0.3333,0.6667,0.0,0.0,0.0
trash|BB|medium|medium|medium|opp_raise_mid,trash,BB,medium,medium,medium,opp_raise_mid,2,0.0,0.5,0.0,0.5,0.0
trash|BTN|medium|medium|medium|opp_raise_low_3bet,trash,BTN,medium,medium,medium,opp_raise_low_3bet,2,0.5,0.0,0.0,0.5,0.0
trash|BTN|medium|medium|deep|standard,trash,BTN,medium,medium,deep,standard,2,0.5,0.0,0.5,0.0,0.0
weak_aces|BTN|deep|medium|deep|standard,weak_aces,BTN,deep,medium,deep,standard,3,0.3333,0.3333,0.0,0.0,0.3333
trash|BTN|deep|medium|deep|standard,trash,BTN,deep,medium,deep,standard,10,0.2,0.3,0.2,0.0,0.3
trash|BB|deep|medium|deep|opp_raise_mid,trash,BB,deep,medium,deep,opp_raise_mid,2,0.0,1.0,0.0,0.0,0.0
trash|BB|deep|medium|deep|opp_raise_low,trash,BB,deep,medium,deep,opp_raise_low,3,0.0,0.6667,0.0,0.3333,0.0
trash|BTN|deep|medium|deep|opp_check,trash,BTN,deep,medium,deep,opp_check,3,0.6667,0.0,0.0,0.0,0.3333
trash|BB|deep|medium|deep|opp_raise_high,trash,BB,deep,medium,deep,opp_raise_high,2,0.0,0.5,0.5,0.0,0.0
trash|BB|medium|medium|very_deep|opp_raise_low,trash,BB,medium,medium,very_deep,opp_raise_low,5,0.0,0.6,0.2,0.0,0.2
trash|BTN|very_deep|medium|very_deep|opp_raise_high,trash,BTN,very_deep,medium,very_deep,opp_raise_high,2,1.0,0.0,0.0,0.0,0.0
trash|BTN|very_deep|medium|very_deep|opp_raise_high_3bet,trash,BTN,very_deep,medium,very_deep,opp_raise_high_3bet,2,0.0,0.5,0.0,0.5,0.0
trash|BTN|very_deep|medium|very_deep|opp_raise_low,trash,BTN,very_deep,medium,very_deep,opp_raise_low,3,0.0,0.3333,0.0,0.6667,0.0
trash|BB|very_deep|medium|very_deep|opp_raise_mid_3bet,trash,BB,very_deep,medium,very_deep,opp_raise_mid_3bet,2,0.0,0.0,0.0,1.0,0.0
premium_aces|BTN|very_deep|medium|very_deep|standard,premium_aces,BTN,very_deep,medium,very_deep,standard,2,0.5,0.0,0.0,0.5,0.0
trash|BB|very_deep|medium|very_deep|opp_raise_low,trash,BB,very_deep,medium,very_deep,opp_raise_low,2,0.0,0.0,0.5,0.5,0.0
