scenario_key,hand_category,example_hands,position,stack_depth,betting_situation,training_games,best_action,confidence,fold_prob,call_prob,raise_small_prob,shove_prob
weak_aces_BB_medium_bet,weak,,aces,BB,medium,30,RAISE_SMALL,0.975,0.008,0.008,0.975,0.008
offsuit_broadway_BB_deep_bet,offsuit,,broadway,BB,deep,29,FOLD,0.974,0.974,0.009,0.009,0.009
trash_BB_medium_bet,trash,"72o, 83o, 94o",BB,medium,bet,27,RAISE_SMALL,0.972,0.009,0.009,0.972,0.009
weak_aces_BB_deep_bet,weak,,aces,BB,deep,26,FOLD,0.971,0.971,0.01,0.01,0.01
premium_pairs_BB_ultra_short_bet,premium,,pairs,BB,ultra,25,FOLD,0.97,0.97,0.01,0.01,0.01
offsuit_broadway_BB_ultra_short_bet,offsuit,,broadway,BB,ultra,24,FOLD,0.969,0.969,0.01,0.01,0.01
small_pairs_BB_medium_bet,small,,pairs,BB,medium,24,RAISE_SMALL,0.969,0.01,0.01,0.969,0.01
suited_gappers_BB_deep_bet,suited,,gappers,BB,deep,23,RAISE_SMALL,0.967,0.011,0.011,0.967,0.011
suited_connectors_BB_medium_bet,suited,,connectors,BB,medium,23,RAISE_SMALL,0.967,0.011,0.011,0.967,0.011
suited_connectors_BB_deep_bet,suited,,connectors,BB,deep,22,RAISE_SMALL,0.966,0.011,0.011,0.966,0.011
small_pairs_BB_deep_bet,small,,pairs,BB,deep,22,RAISE_SMALL,0.966,0.011,0.011,0.966,0.011
offsuit_broadway_BB_short_bet,offsuit,,broadway,BB,short,21,FOLD,0.964,0.964,0.012,0.012,0.012
offsuit_broadway_BTN_medium_no_bet,offsuit,,broadway,BTN,medium,18,RAISE_SMALL,0.963,0.019,0.0,0.963,0.019
premium_aces_BB_deep_bet,premium,,aces,BB,deep,20,RAISE_SMALL,0.962,0.012,0.012,0.962,0.012
premium_pairs_BB_deep_bet,premium,,pairs,BB,deep,20,FOLD,0.962,0.962,0.012,0.012,0.012
suited_broadway_BTN_ultra_short_no_bet,suited,,broadway,BTN,ultra,17,RAISE_SMALL,0.961,0.02,0.0,0.961,0.02
medium_pairs_BB_deep_bet,medium,,pairs,BB,deep,18,RAISE_SMALL,0.958,0.014,0.014,0.958,0.014
medium_pairs_BB_very_deep_bet,medium,,pairs,BB,very,18,RAISE_SMALL,0.958,0.014,0.014,0.958,0.014
suited_broadway_BTN_very_deep_no_bet,suited,,broadway,BTN,very,16,FOLD,0.958,0.958,0.0,0.021,0.021
suited_gappers_BTN_ultra_short_no_bet,suited,,gappers,BTN,ultra,16,FOLD,0.958,0.958,0.0,0.021,0.021
medium_pairs_BTN_short_no_bet,medium,,pairs,BTN,short,15,RAISE_SMALL,0.956,0.022,0.0,0.956,0.022
weak_aces_BTN_medium_no_bet,weak,,aces,BTN,medium,15,RAISE_SMALL,0.956,0.022,0.0,0.956,0.022
suited_gappers_BB_very_deep_bet,suited,,gappers,BB,very,16,RAISE_SMALL,0.953,0.016,0.016,0.953,0.016
suited_connectors_BTN_short_no_bet,suited,,connectors,BTN,short,14,RAISE_SMALL,0.952,0.024,0.0,0.952,0.024
premium_aces_BTN_very_deep_no_bet,premium,,aces,BTN,very,14,RAISE_SMALL,0.952,0.024,0.0,0.952,0.024
premium_pairs_BTN_very_deep_no_bet,premium,,pairs,BTN,very,14,RAISE_SMALL,0.952,0.024,0.0,0.952,0.024
premium_aces_BB_ultra_short_bet,premium,,aces,BB,ultra,15,FOLD,0.95,0.95,0.017,0.017,0.017
suited_connectors_BTN_short_bet,suited,,connectors,BTN,short,10,FOLD,0.95,0.95,0.05,0.0,0.0
medium_pairs_BTN_very_deep_no_bet,medium,,pairs,BTN,very,13,FOLD,0.949,0.949,0.0,0.026,0.026
premium_aces_BB_medium_bet,premium,,aces,BB,medium,28,RAISE_SMALL,0.946,0.018,0.018,0.946,0.018
offsuit_broadway_BB_very_deep_bet,offsuit,,broadway,BB,very,14,RAISE_SMALL,0.946,0.018,0.018,0.946,0.018
suited_gappers_BB_medium_bet,suited,,gappers,BB,medium,14,RAISE_SMALL,0.946,0.018,0.018,0.946,0.018
premium_pairs_BTN_short_no_bet,premium,,pairs,BTN,short,12,RAISE_SMALL,0.944,0.028,0.0,0.944,0.028
trash_BTN_short_no_bet,trash,"72o, 83o, 94o",BTN,short,no,11,FOLD,0.939,0.939,0.0,0.03,0.03
suited_connectors_BTN_deep_bet,suited,,connectors,BTN,deep,12,RAISE_SMALL,0.938,0.021,0.021,0.938,0.021
suited_connectors_BTN_very_deep_no_bet,suited,,connectors,BTN,very,20,RAISE_SMALL,0.933,0.033,0.0,0.933,0.033
premium_pairs_BB_very_deep_bet,premium,,pairs,BB,very,26,FOLD,0.932,0.932,0.01,0.049,0.01
premium_pairs_BTN_medium_bet,premium,,pairs,BTN,medium,11,FOLD,0.932,0.932,0.023,0.023,0.023
trash_BTN_deep_bet,trash,"72o, 83o, 94o",BTN,deep,bet,11,RAISE_SMALL,0.932,0.023,0.023,0.932,0.023
trash_BTN_short_bet,trash,"72o, 83o, 94o",BTN,short,bet,11,FOLD,0.932,0.932,0.023,0.023,0.023
suited_broadway_BB_deep_bet,suited,,broadway,BB,deep,21,RAISE_SMALL,0.929,0.024,0.024,0.929,0.024
small_pairs_BTN_short_no_bet,small,,pairs,BTN,short,18,RAISE_SMALL,0.926,0.037,0.0,0.926,0.037
premium_aces_BTN_short_no_bet,premium,,aces,BTN,short,9,RAISE_SMALL,0.926,0.037,0.0,0.926,0.037
small_pairs_BTN_medium_bet,small,,pairs,BTN,medium,10,RAISE_SMALL,0.925,0.025,0.025,0.925,0.025
suited_gappers_BTN_deep_bet,suited,,gappers,BTN,deep,10,FOLD,0.925,0.925,0.025,0.025,0.025
trash_BTN_medium_bet,trash,"72o, 83o, 94o",BTN,medium,bet,10,FOLD,0.925,0.925,0.025,0.025,0.025
suited_broadway_BTN_short_bet,suited,,broadway,BTN,short,10,FOLD,0.925,0.925,0.025,0.025,0.025
premium_aces_BTN_medium_bet,premium,,aces,BTN,medium,10,RAISE_SMALL,0.925,0.025,0.025,0.925,0.025
medium_aces_BTN_deep_bet,medium,,aces,BTN,deep,10,RAISE_SMALL,0.925,0.025,0.025,0.925,0.025
suited_broadway_BB_medium_bet,suited,,broadway,BB,medium,13,RAISE_SMALL,0.923,0.039,0.019,0.923,0.019
weak_aces_BTN_ultra_short_no_bet,weak,,aces,BTN,ultra,16,FOLD,0.917,0.917,0.0,0.042,0.042
suited_gappers_BTN_medium_bet,suited,,gappers,BTN,medium,9,RAISE_SMALL,0.917,0.028,0.028,0.917,0.028
premium_aces_BTN_very_deep_bet,premium,,aces,BTN,very,9,RAISE_SMALL,0.917,0.028,0.028,0.917,0.028
suited_connectors_BTN_ultra_short_no_bet,suited,,connectors,BTN,ultra,8,FOLD,0.917,0.917,0.0,0.042,0.042
small_pairs_BTN_medium_no_bet,small,,pairs,BTN,medium,8,FOLD,0.917,0.917,0.0,0.042,0.042
medium_aces_BB_deep_bet,medium,,aces,BB,deep,17,RAISE_SMALL,0.912,0.029,0.029,0.912,0.029
suited_gappers_BB_ultra_short_bet,suited,,gappers,BB,ultra,24,FOLD,0.906,0.906,0.031,0.031,0.031
suited_connectors_BTN_medium_bet,suited,,connectors,BTN,medium,8,RAISE_SMALL,0.906,0.031,0.031,0.906,0.031
small_pairs_BTN_very_deep_bet,small,,pairs,BTN,very,8,RAISE_SMALL,0.906,0.031,0.031,0.906,0.031
medium_pairs_BTN_medium_bet,medium,,pairs,BTN,medium,8,RAISE_SMALL,0.906,0.031,0.031,0.906,0.031
suited_connectors_BTN_very_deep_bet,suited,,connectors,BTN,very,8,FOLD,0.906,0.906,0.031,0.031,0.031
suited_broadway_BB_very_deep_bet,suited,,broadway,BB,very,23,FOLD,0.902,0.902,0.033,0.033,0.033
medium_aces_BB_very_deep_bet,medium,,aces,BB,very,22,FOLD,0.898,0.898,0.034,0.034,0.034
small_pairs_BB_short_bet,small,,pairs,BB,short,17,RAISE_SMALL,0.897,0.044,0.044,0.897,0.015
suited_broadway_BTN_deep_no_bet,suited,,broadway,BTN,deep,13,RAISE_SMALL,0.897,0.051,0.0,0.897,0.051
trash_BTN_very_deep_bet,trash,"72o, 83o, 94o",BTN,very,deep,7,FOLD,0.893,0.893,0.036,0.036,0.036
offsuit_broadway_BTN_short_bet,offsuit,,broadway,BTN,short,7,RAISE_SMALL,0.893,0.036,0.036,0.893,0.036
suited_gappers_BTN_very_deep_bet,suited,,gappers,BTN,very,7,RAISE_SMALL,0.893,0.036,0.036,0.893,0.036
premium_aces_BTN_deep_bet,premium,,aces,BTN,deep,7,RAISE_SMALL,0.893,0.036,0.036,0.893,0.036
premium_pairs_BTN_ultra_short_no_bet,premium,,pairs,BTN,ultra,18,RAISE_SMALL,0.889,0.056,0.0,0.889,0.056
medium_pairs_BTN_ultra_short_no_bet,medium,,pairs,BTN,ultra,12,FOLD,0.889,0.889,0.0,0.056,0.056
suited_broadway_BTN_medium_no_bet,suited,,broadway,BTN,medium,12,RAISE_SMALL,0.889,0.056,0.0,0.889,0.056
offsuit_broadway_BTN_very_deep_no_bet,offsuit,,broadway,BTN,very,6,FOLD,0.889,0.889,0.0,0.056,0.056
premium_pairs_BTN_ultra_short_bet,premium,,pairs,BTN,ultra,11,FOLD,0.886,0.886,0.068,0.023,0.023
suited_gappers_BTN_short_no_bet,suited,,gappers,BTN,short,17,RAISE_SMALL,0.881,0.08,0.0,0.881,0.039
trash_BTN_very_deep_no_bet,trash,"72o, 83o, 94o",BTN,very,deep,16,RAISE_SMALL,0.875,0.062,0.0,0.875,0.062
medium_aces_BTN_medium_bet,medium,,aces,BTN,medium,12,FOLD,0.875,0.875,0.042,0.042,0.042
offsuit_broadway_BTN_very_deep_bet,offsuit,,broadway,BTN,very,6,FOLD,0.875,0.875,0.042,0.042,0.042
suited_connectors_BB_very_deep_bet,suited,,connectors,BB,very,21,FOLD,0.868,0.868,0.012,0.108,0.012
suited_broadway_BB_short_bet,suited,,broadway,BB,short,19,RAISE_SMALL,0.868,0.053,0.053,0.868,0.026
medium_aces_BTN_short_no_bet,medium,,aces,BTN,short,15,RAISE_SMALL,0.867,0.067,0.0,0.867,0.067
suited_connectors_BB_short_bet,suited,,connectors,BB,short,18,FOLD,0.866,0.866,0.014,0.106,0.014
premium_aces_BTN_ultra_short_no_bet,premium,,aces,BTN,ultra,19,FOLD,0.857,0.857,0.0,0.125,0.018
weak_aces_BTN_very_deep_no_bet,weak,,aces,BTN,very,14,RAISE_SMALL,0.857,0.071,0.0,0.857,0.071
medium_pairs_BB_short_bet,medium,,pairs,BB,short,26,RAISE_SMALL,0.856,0.067,0.067,0.856,0.01
medium_aces_BTN_very_deep_no_bet,medium,,aces,BTN,very,9,RAISE_SMALL,0.852,0.074,0.0,0.852,0.074
premium_pairs_BB_medium_bet,premium,,pairs,BB,medium,20,FOLD,0.85,0.85,0.05,0.05,0.05
trash_BB_ultra_short_bet,trash,"72o, 83o, 94o",BB,ultra,short,16,FOLD,0.85,0.85,0.047,0.087,0.016
medium_aces_BB_medium_bet,medium,,aces,BB,medium,10,RAISE_SMALL,0.85,0.05,0.05,0.85,0.05
premium_pairs_BTN_deep_bet,premium,,pairs,BTN,deep,5,RAISE_SMALL,0.85,0.05,0.05,0.85,0.05
medium_aces_BTN_medium_no_bet,medium,,aces,BTN,medium,21,RAISE_SMALL,0.841,0.079,0.0,0.841,0.079
weak_aces_BB_short_bet,weak,,aces,BB,short,17,RAISE_SMALL,0.838,0.074,0.074,0.838,0.015
medium_pairs_BB_medium_bet,medium,,pairs,BB,medium,27,FOLD,0.833,0.833,0.056,0.056,0.056
premium_pairs_BTN_medium_no_bet,premium,,pairs,BTN,medium,12,RAISE_SMALL,0.833,0.083,0.0,0.833,0.083
medium_pairs_BTN_short_bet,medium,,pairs,BTN,short,10,RAISE_SMALL,0.825,0.075,0.075,0.825,0.025
offsuit_broadway_BTN_short_no_bet,offsuit,,broadway,BTN,short,15,RAISE_SMALL,0.822,0.089,0.0,0.822,0.089
medium_aces_BB_short_bet,medium,,aces,BB,short,20,RAISE_SMALL,0.812,0.088,0.088,0.812,0.012
offsuit_broadway_BTN_medium_bet,offsuit,,broadway,BTN,medium,12,FOLD,0.812,0.812,0.062,0.062,0.062
weak_aces_BTN_very_deep_bet,weak,,aces,BTN,very,8,RAISE_SMALL,0.812,0.062,0.062,0.812,0.062
suited_gappers_BB_short_bet,suited,,gappers,BB,short,23,RAISE_SMALL,0.804,0.087,0.087,0.804,0.022
weak_aces_BTN_ultra_short_bet,weak,,aces,BTN,ultra,9,FOLD,0.803,0.803,0.028,0.141,0.028
medium_pairs_BTN_ultra_short_bet,medium,,pairs,BTN,ultra,5,FOLD,0.8,0.8,0.2,0.0,0.0
offsuit_broadway_BTN_deep_no_bet,offsuit,,broadway,BTN,deep,13,RAISE_SMALL,0.795,0.103,0.0,0.795,0.103
premium_aces_BB_very_deep_bet,premium,,aces,BB,very,18,RAISE_SMALL,0.792,0.069,0.069,0.792,0.069
small_pairs_BB_very_deep_bet,small,,pairs,BB,very,18,FOLD,0.792,0.792,0.069,0.069,0.069
trash_BB_very_deep_bet,trash,"72o, 83o, 94o",BB,very,deep,25,FOLD,0.79,0.79,0.07,0.07,0.07
suited_broadway_BTN_medium_bet,suited,,broadway,BTN,medium,10,RAISE_SMALL,0.775,0.075,0.075,0.775,0.075
trash_BTN_ultra_short_no_bet,trash,"72o, 83o, 94o",BTN,ultra,short,12,FOLD,0.771,0.771,0.0,0.201,0.028
weak_aces_BTN_deep_no_bet,weak,,aces,BTN,deep,11,RAISE_SMALL,0.758,0.121,0.0,0.758,0.121
weak_aces_BTN_short_bet,weak,,aces,BTN,short,9,FOLD,0.75,0.75,0.083,0.083,0.083
medium_pairs_BTN_deep_bet,medium,,pairs,BTN,deep,6,RAISE_SMALL,0.75,0.083,0.083,0.75,0.083
small_pairs_BTN_deep_no_bet,small,,pairs,BTN,deep,13,RAISE_SMALL,0.744,0.128,0.0,0.744,0.128
medium_pairs_BTN_deep_no_bet,medium,,pairs,BTN,deep,13,RAISE_SMALL,0.744,0.128,0.0,0.744,0.128
premium_pairs_BB_short_bet,premium,,pairs,BB,short,13,RAISE_SMALL,0.731,0.115,0.115,0.731,0.038
small_pairs_BTN_ultra_short_no_bet,small,,pairs,BTN,ultra,12,RAISE_SMALL,0.722,0.139,0.0,0.722,0.139
medium_pairs_BTN_medium_no_bet,medium,,pairs,BTN,medium,12,RAISE_SMALL,0.722,0.139,0.0,0.722,0.139
small_pairs_BTN_short_bet,small,,pairs,BTN,short,12,RAISE_SMALL,0.708,0.125,0.125,0.708,0.042
weak_aces_BTN_short_no_bet,weak,,aces,BTN,short,9,RAISE_SMALL,0.704,0.148,0.0,0.704,0.148
suited_broadway_BTN_short_no_bet,suited,,broadway,BTN,short,9,RAISE_SMALL,0.704,0.148,0.0,0.704,0.148
small_pairs_BTN_very_deep_no_bet,small,,pairs,BTN,very,15,RAISE_SMALL,0.689,0.156,0.0,0.689,0.156
weak_aces_BB_very_deep_bet,weak,,aces,BB,very,14,RAISE_SMALL,0.679,0.107,0.107,0.679,0.107
suited_gappers_BTN_deep_no_bet,suited,,gappers,BTN,deep,14,FOLD,0.667,0.667,0.0,0.167,0.167
suited_connectors_BTN_deep_no_bet,suited,,connectors,BTN,deep,10,FOLD,0.667,0.667,0.0,0.167,0.167
premium_aces_BB_short_bet,premium,,aces,BB,short,17,RAISE_SMALL,0.647,0.147,0.147,0.647,0.059
trash_BB_short_bet,trash,"72o, 83o, 94o",BB,short,bet,19,RAISE_SMALL,0.645,0.171,0.171,0.645,0.013
medium_aces_BTN_ultra_short_bet,medium,,aces,BTN,ultra,7,RAISE_SMALL,0.643,0.143,0.143,0.643,0.071
medium_pairs_BTN_very_deep_bet,medium,,pairs,BTN,very,6,FOLD,0.625,0.625,0.125,0.125,0.125
weak_aces_BTN_deep_bet,weak,,aces,BTN,deep,2,RAISE_SMALL,0.625,0.125,0.125,0.625,0.125
suited_gappers_BTN_medium_no_bet,suited,,gappers,BTN,medium,14,FOLD,0.619,0.619,0.0,0.19,0.19
trash_BB_deep_bet,trash,"72o, 83o, 94o",BB,deep,bet,19,RAISE_SMALL,0.605,0.132,0.132,0.605,0.132
premium_pairs_BTN_deep_no_bet,premium,,pairs,BTN,deep,5,RAISE_SMALL,0.6,0.2,0.0,0.6,0.2
suited_connectors_BB_ultra_short_bet,suited,,connectors,BB,ultra,21,RAISE_SMALL,0.595,0.19,0.19,0.595,0.024
trash_BTN_deep_no_bet,trash,"72o, 83o, 94o",BTN,deep,no,11,RAISE_SMALL,0.576,0.212,0.0,0.576,0.212
premium_aces_BTN_medium_no_bet,premium,,aces,BTN,medium,11,FOLD,0.576,0.576,0.0,0.212,0.212
weak_aces_BB_ultra_short_bet,weak,,aces,BB,ultra,22,RAISE_SMALL,0.568,0.205,0.205,0.568,0.023
medium_aces_BB_ultra_short_bet,medium,,aces,BB,ultra,22,RAISE_SMALL,0.557,0.216,0.216,0.557,0.011
suited_broadway_BB_ultra_short_bet,suited,,broadway,BB,ultra,22,RAISE_SMALL,0.557,0.216,0.216,0.557,0.011
suited_gappers_BTN_short_bet,suited,,gappers,BTN,short,5,RAISE_SMALL,0.536,0.364,0.05,0.536,0.05
premium_aces_BTN_deep_no_bet,premium,,aces,BTN,deep,10,RAISE_SMALL,0.533,0.233,0.0,0.533,0.233
medium_aces_BTN_short_bet,medium,,aces,BTN,short,8,RAISE_SMALL,0.531,0.219,0.219,0.531,0.031
medium_aces_BTN_ultra_short_no_bet,medium,,aces,BTN,ultra,21,RAISE_SMALL,0.53,0.423,0.0,0.53,0.048
offsuit_broadway_BTN_deep_bet,offsuit,,broadway,BTN,deep,8,FOLD,0.53,0.53,0.031,0.407,0.031
small_pairs_BB_ultra_short_bet,small,,pairs,BB,ultra,19,RAISE_SMALL,0.526,0.211,0.211,0.526,0.053
suited_broadway_BTN_very_deep_bet,suited,,broadway,BTN,very,11,RAISE_SMALL,0.523,0.159,0.159,0.523,0.159
offsuit_broadway_BTN_ultra_short_no_bet,offsuit,,broadway,BTN,ultra,9,RAISE_SMALL,0.522,0.441,0.0,0.522,0.037
medium_pairs_BB_ultra_short_bet,medium,,pairs,BB,ultra,21,RAISE_SMALL,0.5,0.238,0.238,0.5,0.024
trash_BTN_medium_no_bet,trash,"72o, 83o, 94o",BTN,medium,no,8,FOLD,0.5,0.5,0.0,0.25,0.25
trash_BTN_ultra_short_bet,trash,"72o, 83o, 94o",BTN,ultra,short,7,FOLD,0.5,0.5,0.214,0.143,0.143
small_pairs_BTN_ultra_short_bet,small,,pairs,BTN,ultra,11,RAISE_SMALL,0.477,0.25,0.25,0.477,0.023
premium_aces_BTN_short_bet,premium,,aces,BTN,short,13,RAISE_SMALL,0.423,0.231,0.231,0.423,0.115
medium_aces_BTN_deep_no_bet,medium,,aces,BTN,deep,9,RAISE_SMALL,0.407,0.296,0.0,0.407,0.296
suited_connectors_BTN_ultra_short_bet,suited,,connectors,BTN,ultra,8,RAISE_SMALL,0.406,0.281,0.281,0.406,0.031
suited_gappers_BTN_ultra_short_bet,suited,,gappers,BTN,ultra,10,RAISE_SMALL,0.375,0.275,0.275,0.375,0.075
premium_aces_BTN_ultra_short_bet,premium,,aces,BTN,ultra,10,RAISE_SMALL,0.35,0.3,0.3,0.35,0.05
premium_pairs_BTN_short_bet,premium,,pairs,BTN,short,9,RAISE_SMALL,0.333,0.278,0.278,0.333,0.111
suited_gappers_BTN_very_deep_no_bet,suited,,gappers,BTN,very,8,FOLD,0.333,0.333,0.0,0.333,0.333
suited_connectors_BTN_medium_no_bet,suited,,connectors,BTN,medium,7,FOLD,0.333,0.333,0.0,0.333,0.333
offsuit_broadway_BTN_ultra_short_bet,offsuit,,broadway,BTN,ultra,13,FOLD,0.327,0.327,0.327,0.327,0.019
suited_broadway_BTN_ultra_short_bet,suited,,broadway,BTN,ultra,8,FOLD,0.312,0.312,0.312,0.312,0.062
offsuit_broadway_BB_medium_bet,offsuit,,broadway,BB,medium,15,FOLD,0.25,0.25,0.25,0.25,0.25
weak_aces_BTN_medium_bet,weak,,aces,BTN,medium,9,FOLD,0.25,0.25,0.25,0.25,0.25
premium_pairs_BTN_very_deep_bet,premium,,pairs,BTN,very,9,FOLD,0.25,0.25,0.25,0.25,0.25
medium_aces_BTN_very_deep_bet,medium,,aces,BTN,very,7,FOLD,0.25,0.25,0.25,0.25,0.25
suited_broadway_BTN_deep_bet,suited,,broadway,BTN,deep,6,FOLD,0.25,0.25,0.25,0.25,0.25
small_pairs_BTN_deep_bet,small,,pairs,BTN,deep,3,FOLD,0.25,0.25,0.25,0.25,0.25
